charity_ID,state_ID
39048,3
39091,4
39103,3
39114,1
39238,4
39249,0
39249,1
39266,1
39286,1
39310,1
39323,6
39334,0
39334,1
39334,3
39334,6
39334,7
39334,2
39334,5
39334,4
39373,1
39382,7
39388,6
39429,3
39459,6
39473,6
39512,3
39512,4
39590,6
39599,3
39614,6
39683,4
39739,6
39755,1
39777,3
39817,1
39817,3
39817,6
39817,4
39833,6
39864,1
39873,5
39878,1
39878,6
39911,3
39914,1
39921,7
39950,1
39966,0
39966,1
39966,3
39966,6
39966,7
39966,2
39966,5
39966,4
39972,5
39989,6
40055,6
40095,6
40096,1
40166,6
40206,4
40223,4
40236,1
40268,1
40293,3
40304,6
40320,3
40336,6
40366,7
40375,3
40381,1
40406,6
40410,5
40414,0
40483,6
40494,1
40512,6
40544,1
40554,1
40676,3
40691,6
40727,1
40737,1
40805,1
40866,1
40891,6
40904,1
40913,6
40937,6
41012,3
41037,6
41107,7
41152,3
41153,1
41181,3
41188,1
41188,3
41188,6
41188,7
41188,2
41188,5
41188,4
41223,1
41239,1
41242,3
41251,6
41301,6
41306,7
41337,6
41440,6
41513,1
41551,4
41571,7
41595,1
41621,1
41664,0
41664,1
41664,3
41664,6
41664,7
41664,2
41664,5
41664,4
41668,1
41684,6
41690,1
41704,4
41717,3
41731,5
41782,6
41797,0
41921,6
41935,7
41947,6
41963,3
42068,1
42074,6
42097,4
42103,1
42139,1
42142,1
42142,6
42167,1
42185,6
42269,6
42271,1
42405,0
42466,1
42466,7
42466,2
42466,4
42472,7
42473,3
42526,0
42526,1
42526,3
42526,6
42526,7
42526,2
42526,5
42526,4
42535,1
42543,6
42544,4
42545,3
42545,6
42557,1
42563,1
42564,2
42567,1
42567,3
42567,6
42587,4
42614,6
42617,1
42655,6
42683,1
42741,6
42799,6
42819,1
42839,3
42861,5
42907,6
42919,5
42942,6
42958,6
42963,6
42972,0
43094,1
43117,3
43118,1
43118,6
43141,6
43186,1
43197,6
43251,6
43252,6
43281,6
43403,4
43407,6
43410,6
43469,1
43499,3
43538,3
43541,6
43543,6
43569,4
43606,6
43610,6
43617,3
43618,7
43683,1
43686,5
43710,1
43713,3
43727,5
43730,1
43731,1
43751,1
43782,3
43784,1
43901,6
43977,3
43990,3
44098,6
44110,3
44113,3
44211,7
44263,1
44367,6
44399,3
44484,6
44487,3
44520,1
44523,3
44528,3
44531,3
44534,1
44549,1
44555,1
44571,6
44582,1
44638,6
44642,3
44664,6
44676,6
44702,3
44724,6
44728,7
44777,4
44834,1
44852,5
44909,1
44917,6
44926,7
44927,6
44959,6
44962,6
44993,3
45008,2
45017,1
45029,7
45059,4
45077,6
45109,3
45159,1
45212,5
45218,3
45230,4
45242,6
45273,6
45324,6
45386,6
45411,1
45436,3
45458,3
45589,7
45598,6
45606,6
45627,7
45678,6
45715,1
45716,0
45716,1
45733,4
45759,1
45844,4
45860,6
45880,3
45904,6
45911,1
45927,1
45927,3
45973,6
45995,3
46067,6
46071,6
46140,1
46241,7
46258,4
46262,4
46273,6
46317,4
46338,1
46341,4
46347,3
46359,7
46377,1
46377,3
46377,6
46377,7
46377,5
46377,4
46378,6
46402,6
46406,7
46425,0
46425,1
46425,3
46425,6
46425,7
46425,2
46425,5
46425,4
46427,1
46459,0
46478,6
46504,3
46506,1
46506,3
46506,7
46533,1
46547,6
46652,6
46714,4
46722,0
46724,3
46766,6
46803,1
46803,6
46951,4
46956,6
46983,1
46987,1
46989,6
47008,3
47014,6
47024,6
47033,3
47036,6
47060,6
47111,3
47127,6
47146,1
47177,1
47206,1
47209,1
47210,7
47212,1
47243,6
47250,4
47272,6
47311,6
47319,1
47331,4
47375,6
47378,6
47388,6
47450,1
47466,3
47539,6
47548,6
47614,0
47615,3
47649,1
47688,1
47720,3
47815,6
47867,1
47941,1
47945,6
47958,3
47963,6
48005,1
48031,6
48086,1
48144,1
48145,3
48193,6
48215,6
48231,7
48239,3
48284,7
48296,1
48327,6
48420,1
48424,1
48429,6
48460,3
48473,6
48490,1
48505,1
48505,3
48559,2
48585,3
48632,1
48666,6
48674,6
48724,6
48770,4
48797,3
48859,6
48860,1
48899,3
48916,5
48929,1
48944,1
49010,1
49055,1
49107,3
49138,1
49138,3
49138,6
49138,7
49138,5
49138,4
49159,4
49202,6
49236,6
49273,6
49276,6
49278,3
49353,6
49379,5
49386,6
49458,6
49480,6
49511,1
49565,0
49565,1
49565,3
49565,6
49565,4
49596,1
49660,1
49666,7
49684,6
49693,5
49800,1
49811,6
49822,4
49842,3
49895,0
49895,1
49895,3
49895,6
49895,7
49895,2
49895,5
49895,4
49896,1
49896,3
49896,6
49896,7
49896,2
49896,5
49896,4
49959,4
50054,6
50069,6
50135,6
50143,1
50153,6
50196,6
50251,1
50251,3
50251,6
50251,5
50251,4
50354,3
50361,3
50381,3
50398,1
50426,3
50478,7
50494,6
50496,1
50505,1
50505,3
50505,6
50505,5
50505,4
50541,1
50548,6
